"CampaignID","DataAccess","StartDate","EndDate","Notes"
110001058,"Public","2023-01-27","2023-01-27",NA
110001059,"Public","2023-02-28","2023-02-28",NA
110001060,"Public","2023-03-20","2023-03-20",NA
110001061,"Public","2023-06-23","2023-06-23",NA
110001062,"Public","2023-07-25","2023-07-25",NA
110001063,"Public","2023-08-23","2023-08-23",NA
110001064,"Public","2023-09-29","2023-09-29",NA
110001065,"Public","2023-10-27","2023-10-27",NA
110001066,"Public","2023-11-29","2023-11-29",NA
110001067,"Public","2023-12-15","2023-12-15",NA
